Date(UTC),UnixTimeStamp,Value,
1/23/17,1485129600,10.78,
1/24/17,1485216000,10.51,
1/25/17,1485302400,10.51,
1/26/17,1485388800,10.65,
1/27/17,1485475200,10.51,
1/28/17,1485561600,10.54,
1/29/17,1485648000,10.47,
1/30/17,1485734400,10.62,
1/31/17,1485820800,10.71,
2/1/17,1485907200,10.71,
2/2/17,1485993600,10.78,
2/3/17,1486080000,10.95,
2/4/17,1486166400,11.32,
2/5/17,1486252800,11.22,
2/6/17,1486339200,11.32,
2/7/17,1486425600,11.45,
2/8/17,1486512000,11.39,
2/9/17,1486598400,10.94,
2/10/17,1486684800,11.34,
2/11/17,1486771200,11.43,
2/12/17,1486857600,11.42,
2/13/17,1486944000,11.39,
2/14/17,1487030400,13,
2/15/17,1487116800,12.97,
2/16/17,1487203200,12.95,
2/17/17,1487289600,12.72,
2/18/17,1487376000,12.83,
2/19/17,1487462400,12.82,
2/20/17,1487548800,12.52,
2/21/17,1487635200,12.77,
2/22/17,1487721600,12.69,
2/23/17,1487808000,13.13,
2/24/17,1487894400,13.11,
2/25/17,1487980800,13.57,
2/26/17,1488067200,14.59,
2/27/17,1488153600,15.55,
2/28/17,1488240000,16.07,
3/1/17,1488326400,17.55,
3/2/17,1488412800,19.08,
3/3/17,1488499200,19.48,
3/4/17,1488585600,18.61,
3/5/17,1488672000,19.22,
3/6/17,1488758400,19.75,
3/7/17,1488844800,18.91,
3/8/17,1488931200,16.54,
3/9/17,1489017600,17.71,
3/10/17,1489104000,19.13,
3/11/17,1489190400,21.45,
3/12/17,1489276800,23.31,
3/13/17,1489363200,28.45,
3/14/17,1489449600,28.58,
3/15/17,1489536000,35.18,
3/16/17,1489622400,45.51,
3/17/17,1489708800,44.48,
3/18/17,1489795200,34,
3/19/17,1489881600,43.12,
3/20/17,1489968000,42.51,
3/21/17,1490054400,42.67,
3/22/17,1490140800,41.65,
3/23/17,1490227200,43.2,
3/24/17,1490313600,53.19,
3/25/17,1490400000,50.62,
3/26/17,1490486400,50.63,
3/27/17,1490572800,49.06,
3/28/17,1490659200,50.25,
3/29/17,1490745600,53.07,
3/30/17,1490832000,51.91,
3/31/17,1490918400,49.91,
4/1/17,1491004800,50.6,
4/2/17,1491091200,48.55,
4/3/17,1491177600,44.13,
4/4/17,1491264000,44.43,
4/5/17,1491350400,44.9,
4/6/17,1491436800,43.23,
4/7/17,1491523200,42.31,
4/8/17,1491609600,44.37,
4/9/17,1491696000,43.72,
4/10/17,1491782400,43.74,
4/11/17,1491868800,43.74,
4/12/17,1491955200,46.38,
4/13/17,1492041600,49.97,
4/14/17,1492128000,47.32,
4/15/17,1492214400,48.89,
4/16/17,1492300800,48.22,
4/17/17,1492387200,47.94,
4/18/17,1492473600,49.88,
4/19/17,1492560000,47.88,
4/20/17,1492646400,49.36,
4/21/17,1492732800,48.27,
4/22/17,1492819200,48.41,
4/23/17,1492905600,48.75,
4/24/17,1492992000,49.94,
4/25/17,1493078400,50.09,
4/26/17,1493164800,53.28,
4/27/17,1493251200,63.14,
4/28/17,1493337600,72.42,
4/29/17,1493424000,69.83,
4/30/17,1493510400,79.83,
5/1/17,1493596800,77.53,
5/2/17,1493683200,77.25,
5/3/17,1493769600,80.37,
5/4/17,1493856000,94.55,
5/5/17,1493942400,90.79,
5/6/17,1494028800,94.82,
5/7/17,1494115200,90.46,
5/8/17,1494201600,88.39,
5/9/17,1494288000,86.27,
5/10/17,1494374400,87.83,
5/11/17,1494460800,88.2,
5/12/17,1494547200,85.15,
5/13/17,1494633600,87.96,
5/14/17,1494720000,88.72,
5/15/17,1494806400,90.32,
5/16/17,1494892800,87.8,
5/17/17,1494979200,86.98,
5/18/17,1495065600,95.88,
